C,N,D,loss
1.484636116216092e+20,1265594923,19551228291,2.516535
1.6834766534705064e+20,1429234944,19631442919,2.494015
1.68442227995902e+20,1429234944,19642470107,2.505252
1.7004494789916567e+20,1592874407,17792253125,2.494015
1.7008706430359824e+20,1730545870,16380868336,2.505252
1.731895641657912e+20,1424351714,20265308823,2.494015
1.7522877872156135e+20,892666559,32716355445,2.486553
1.830191498447705e+20,586599438,52000035595,2.505252
1.857685955147912e+20,1592874407,19437460007,2.494015
1.8976354573852413e+20,1424351714,22204668487,2.494015
1.9583792871232835e+20,2006676701,16265527359,2.486553
1.9993409626954485e+20,1017959887,32734442488,2.456928
2.1291189155295884e+20,1609081596,22053148419,2.456928
2.1491609529263207e+20,1609081596,22260741345,2.464301
2.192158510446852e+20,663958005,55027539277,2.475405
2.2400714751459947e+20,2282807579,16354652461,2.475405
2.2476722635254736e+20,1143253305,32767195357,2.445913
2.283489025687541e+20,1793811468,21216360309,2.464301
2.3966868535226955e+20,1793811468,22268104318,2.456928
2.404494088288999e+20,2297743486,17440981432,2.464301
2.7039559398486625e+20,586599438,76825733941,2.464301
2.7509650979219705e+20,2282805960,20084676097,2.416772
2.7808448870158008e+20,1793812740,25837376308,2.427656
2.787138497260669e+20,1143254386,40631646688,2.434941
2.809168861116504e+20,816343229,57352691040,2.434941
2.8377990114178223e+20,424610585,111388297613,2.516535
2.854585646565311e+20,1429235620,33288022481,2.405931
2.874834143307796e+20,1265594026,37858824714,2.434941
2.930178015323031e+20,2006674804,24336928015,2.398733
2.933628569501239e+20,2979523285,16409943745,2.434941
2.953042590959414e+20,816343229,60290052937,2.445913
2.9883707794373856e+20,4516062221,11028674366,2.456928
2.9910960385882364e+20,6795609987,7335853697,2.524086
3.239674567410148e+20,1730544643,31200914888,2.427656
3.2633203456306735e+20,2979525398,18254139558,2.434941
3.3672620739824805e+20,1429233593,39266523573,2.416772
3.807673479568956e+20,1424350704,44554493827,2.405931
3.934868272798652e+20,2006674804,32681497644,2.398733
4.083427091570604e+20,1143254386,59529286766,2.387979
4.300440885858786e+20,1609080455,44543462406,2.387979
4.4872472452756085e+20,2282805960,32761196263,2.377267
4.7174100898016526e+20,1793810196,43830446319,2.377267
4.7223131148723886e+20,2297741856,34253290186,2.370155
5.4457763521200017e+20,632225315,143561064439,2.445913
5.4730026044124063e+20,1143254386,79786888366,2.370155
5.497154483066788e+20,816343229,112231274890,2.398733
5.532362693545165e+20,1265595821,72855838631,2.370155
5.58795306063008e+20,2979523285,31257534211,2.359528
5.626412650070955e+20,4516062221,20764449108,2.387979
5.764782426318482e+20,1429235620,67224540009,2.359528
5.8004165431512754e+20,2638632712,36637766452,2.348944
5.837678146679801e+20,1793812740,54239014820,2.348944
5.870141868383024e+20,2006674804,48755133423,2.331417
5.916752737513713e+20,2979523285,33096752801,2.359528
6.028362873379071e+20,6795609987,14784944215,2.405931
6.572364015198353e+20,1730547097,63297555100,2.348944
7.408667745290475e+20,1592875537,77518797238,2.331417
8.55333463008578e+20,1609082737,88594311453,2.320959
